service,profiles,dockerfile,command,entrypoint,environment_keys,depends_on,volumes,evidence
app-postgres,(default),,,,TZ;POSTGRES_USER;POSTGRES_PASSWORD;POSTGRES_DB,[],"[""app-pgdata:/var/lib/postgresql/data"", ""./persistence/docker-init:/docker-entrypoint-initdb.d:ro""]",docker-compose.yaml:15
redis,(default),,,,TZ,[],"[""redis-data:/data""]",docker-compose.yaml:48
searxng,(default),,,"[""/bin/sh"", ""/usr/local/bin/hpagent-searxng-entrypoint.sh""]",TZ;SEARXNG_BASE_URL;SEARXNG_SECRET;HTTP_PROXY;HTTPS_PROXY;http_proxy;https_proxy;NO_PROXY;no_proxy,[],"[""./config/searxng/settings.yml:/etc/searxng/settings.template.yml:ro"", ""./config/searxng/entrypoint.sh:/usr/local/bin/hpagent-searxng-entrypoint.sh:ro""]",docker-compose.yaml:79
gotenberg,(default),,"[""gotenberg"", ""--api-port=3000"", ""--libreoffice-auto-start=true"", ""--chromium-auto-start=true""]",,,[],[],docker-compose.yaml:119
temporal-postgres,(default),,,,TZ;POSTGRES_USER;POSTGRES_PASSWORD;POSTGRES_DB,[],"[""temporal-pgdata:/var/lib/postgresql/data""]",docker-compose.yaml:139
temporal,(default),,,,TZ;BIND_ON_IP;DB;DB_PORT;POSTGRES_USER;POSTGRES_PWD;POSTGRES_SEEDS,"[""temporal-postgres""]",[],docker-compose.yaml:174
hindsight-postgres,(default),,"-c shared_buffers=128MB -c work_mem=8MB -c maintenance_work_mem=64MB -c effective_cache_size=256MB -c wal_buffers=16MB -c max_wal_size=1GB
",,TZ;POSTGRES_USER;POSTGRES_PASSWORD;POSTGRES_DB,[],"[""hindsight-pgdata:/var/lib/postgresql/data""]",docker-compose.yaml:220
hindsight,(default),,,,TZ;HTTP_PROXY;HTTPS_PROXY;http_proxy;https_proxy;NO_PROXY;no_proxy;HINDSIGHT_API_DATABASE_URL;HINDSIGHT_API_LLM_PROVIDER;HINDSIGHT_API_LLM_BASE_URL;HINDSIGHT_API_LLM_API_KEY;HINDSIGHT_API_LLM_MODEL;HINDSIGHT_API_EMBEDDINGS_PROVIDER;HINDSIGHT_API_EMBEDDINGS_OPENAI_API_KEY;HINDSIGHT_API_EMBEDDINGS_OPENAI_MODEL;HINDSIGHT_API_EMBEDDINGS_OPENAI_BASE_URL;HINDSIGHT_API_RERANKER_PROVIDER;HINDSIGHT_API_RERANKER_SILICONFLOW_API_KEY;HINDSIGHT_API_RERANKER_SILICONFLOW_MODEL;HINDSIGHT_API_RERANKER_SILICONFLOW_BASE_URL;HINDSIGHT_API_SKIP_LLM_VERIFICATION,"[""hindsight-postgres""]","[""./scripts/start-all.sh:/app/start-all.sh:ro""]",docker-compose.yaml:268
hpagent-migrate,agent;web;web-prod,src/Dockerfile.migrate,"CMD [""python"", ""-m"", ""persistence.migrate""]",,APP_DATABASE_URL,"[""app-postgres""]","[""./src:/app/src:ro"", ""./persistence:/app/persistence:ro""]",docker-compose.yaml:353
hpagent,agent;web;web-prod,src/Dockerfile,"ENTRYPOINT [""/entrypoint.sh""]",,TZ;TEMPORAL_HOST;HINDSIGHT_URL;REDIS_URL;SEARXNG_URL;GOTENBERG_URL;HTTP_PROXY;HTTPS_PROXY;http_proxy;https_proxy;NO_PROXY;no_proxy;WORKSPACE_ROOT;WORKSPACE_ISOLATION_MODE;WORKER_DATABASE_URL;WEB_REAL_AGENT_ENABLED;WEB_REAL_AGENT_GATE_VERSION;DURABLE_AGENT_ENABLED;AGENT_EXECUTION_LEASE_TTL_SECONDS;WEB_FILE_UPLOAD_ENABLED;WEB_FILE_TRANSFORM_ENABLED;WEB_FILE_SHELL_ENABLED;FILE_STORE_ROOT;FILE_RUN_ROOT;FILE_MAX_BYTES;FILE_DIRECT_READ_MAX_BYTES;FILE_CLEANUP_INTERVAL_SECONDS;RUN_BUDGET_MODE;HPAGENT_ENV;QQ_BINDING_CODE_PEPPER;QQ_BINDING_CHALLENGE_SECONDS;SILICONFLOW_API_KEY;SILICONFLOW_BASE_URL;SILICONFLOW_EMBEDDING_MODEL;SILICONFLOW_RERANK_MODEL;SILICONFLOW_DeepSeek_R1_0528_Qwen3_8B_MODEL;ALIBABA_BAILIAN_API_KEY;ALIBABA_BAILIAN_BASE_URL;ALIBABA_BAILIAN_FAST_MODEL;MINIMAX_API_KEY;MINIMAX_API_BASE_URL;MINIMAX_STANDARD_MODEL;MINIMAX_FLAGSHIP_MODEL;MINIMAX_HIGHSPEED_MODEL;HPAGENT_MODELS_PATH;DEEPSEEK_API_KEY;DEEPSEEK_API_BASE_URL;DEEPSEEK_STANDARD_MODEL;DEEPSEEK_FLAGSHIP_MODEL;DEEPSEEK_HIGHSPEED_MODEL;QQ_OFFICIAL_APP_ID;QQ_OFFICIAL_CLIENT_SECRET;QQ_OFFICIAL_SANDBOX;LOG_LEVEL,"[""app-postgres"", ""hpagent-migrate"", ""redis"", ""temporal"", ""hindsight"", ""searxng"", ""gotenberg""]","[""./src:/app"", ""./.data:/app/.data"", ""./config:/app/config:ro"", ""./tools:/app/tools"", ""hpagent-file-store:/var/lib/hpagent/file-store"", ""hpagent-file-runs:/var/lib/hpagent/file-runs""]",docker-compose.yaml:410
