path,symbol,kind,evidence
web/e2e/f4-approval.spec.ts,attachAndSend,FunctionDeclaration,web/e2e/f4-approval.spec.ts:7
web/e2e/helpers.ts,login,FunctionDeclaration,web/e2e/helpers.ts:17
web/e2e/helpers.ts,createConversation,FunctionDeclaration,web/e2e/helpers.ts:27
web/e2e/helpers.ts,sendMessage,FunctionDeclaration,web/e2e/helpers.ts:33
web/e2e/helpers.ts,expectReply,FunctionDeclaration,web/e2e/helpers.ts:44
web/e2e/helpers.ts,expectRunLive,FunctionDeclaration,web/e2e/helpers.ts:54
web/src/App.tsx,App,FunctionDeclaration,web/src/App.tsx:19
web/src/App.tsx,Workbench,FunctionDeclaration,web/src/App.tsx:60
web/src/App.tsx,EmptySelection,FunctionDeclaration,web/src/App.tsx:137
web/src/adapters/assistant-ui/HpThread.tsx,HpThreadProps,InterfaceDeclaration,web/src/adapters/assistant-ui/HpThread.tsx:27
web/src/adapters/assistant-ui/HpThread.tsx,HpTextPart,FunctionDeclaration,web/src/adapters/assistant-ui/HpThread.tsx:44
web/src/adapters/assistant-ui/HpThread.tsx,HpMessageView,FunctionDeclaration,web/src/adapters/assistant-ui/HpThread.tsx:52
web/src/adapters/assistant-ui/HpThread.tsx,HpThread,FunctionDeclaration,web/src/adapters/assistant-ui/HpThread.tsx:110
web/src/adapters/assistant-ui/runtime.ts,HpThreadRuntimeOptions,InterfaceDeclaration,web/src/adapters/assistant-ui/runtime.ts:25
web/src/adapters/assistant-ui/runtime.ts,extractText,FunctionDeclaration,web/src/adapters/assistant-ui/runtime.ts:33
web/src/adapters/assistant-ui/runtime.ts,useHpThreadRuntime,FunctionDeclaration,web/src/adapters/assistant-ui/runtime.ts:43
web/src/adapters/assistant-ui/types.test.ts,userMessage,FunctionDeclaration,web/src/adapters/assistant-ui/types.test.ts:13
web/src/adapters/assistant-ui/types.test.ts,assistantMessage,FunctionDeclaration,web/src/adapters/assistant-ui/types.test.ts:29
web/src/adapters/assistant-ui/types.ts,toAssistantStatus,FunctionDeclaration,web/src/adapters/assistant-ui/types.ts:13
web/src/adapters/assistant-ui/types.ts,toThreadMessageLike,FunctionDeclaration,web/src/adapters/assistant-ui/types.ts:28
