method,route,handler,service_calls,evidence
GET,/health/live,src/web_api/app.py::create_app.live,,src/web_api/app.py:483
GET,/health/ready,src/web_api/app.py::create_app.ready,,src/web_api/app.py:487
POST,/auth/login,src/web_api/app.py::create_app.login,request.app.state.credentials.verify;src/web_api/auth.py::AuthService.login,src/web_api/app.py:493
POST,/auth/register,src/web_api/app.py::create_app.register,src/account/registration_service.py::RegistrationService.register;src/web_api/auth.py::AuthService.login,src/web_api/app.py:513
GET,/auth/login,src/web_api/app.py::create_app.login_entry,,src/web_api/app.py:571
GET,/api/v1/me,src/web_api/app.py::create_app.me,src/account/identity_binding_service.py::IdentityBindingService.get_identity_summary,src/web_api/app.py:580
POST,/api/v1/identity-bindings/qq/challenges,src/web_api/app.py::create_app.create_qq_binding_challenge,src/account/identity_binding_service.py::IdentityBindingService.create_qq_challenge,src/web_api/app.py:607
GET,/api/v1/identity-bindings/qq/challenges/{challenge_id},src/web_api/app.py::create_app.get_qq_binding_challenge,src/account/identity_binding_service.py::IdentityBindingService.get_qq_challenge,src/web_api/app.py:621
POST,/api/v1/auth/logout,src/web_api/app.py::create_app.logout,src/web_api/auth.py::AuthService.authenticate;src/web_api/auth.py::AuthService.revoke,src/web_api/app.py:645
POST,/api/v1/conversations,src/web_api/app.py::create_app.create_conversation,src/web_domain/services.py::CommandService.create_conversation,src/web_api/app.py:658
POST,/api/v1/tasks,src/web_api/app.py::create_app.create_research_task,src/research_domain/services.py::ResearchTaskCommandService.create_task,src/web_api/app.py:672
POST,/api/v1/tasks/{task_id}/runs,src/web_api/app.py::create_app.trigger_research_task,src/research_domain/services.py::ResearchTaskCommandService.trigger_task,src/web_api/app.py:690
PUT,/api/v1/tasks/{task_id}/schedule,src/web_api/app.py::create_app.update_research_schedule,src/research_domain/services.py::ResearchTaskCommandService.update_schedule,src/web_api/app.py:705
GET,/api/v1/tasks/{task_id}/runs/{run_id},src/web_api/app.py::create_app.get_research_run,src/research_domain/services.py::ResearchTaskCommandService.get_run,src/web_api/app.py:727
GET,/api/v1/tasks/{task_id}/runs/{run_id}/evidence,src/web_api/app.py::create_app.list_research_evidence,src/research_domain/services.py::ResearchTaskCommandService.list_evidence,src/web_api/app.py:738
GET,/api/v1/tasks/{task_id}/runs/{run_id}/report,src/web_api/app.py::create_app.get_research_report,src/research_domain/services.py::ResearchTaskCommandService.get_report,src/web_api/app.py:749
POST,/api/v1/conversations/{conversation_id}/uploads,src/web_api/app.py::create_app.create_upload,src/web_domain/file_services.py::FileService.create_upload,src/web_api/app.py:760
PUT,/api/v1/uploads/{file_id}/content,src/web_api/app.py::create_app.upload_content,src/web_domain/file_services.py::FileService.upload_content,src/web_api/app.py:779
GET,/api/v1/files/{file_id},src/web_api/app.py::create_app.get_file,src/web_domain/file_services.py::FileService.get,src/web_api/app.py:791
