path,object_kind,object_name,evidence
persistence/migrations/001_phase_a_schema.sql,TABLE,accounts,persistence/migrations/001_phase_a_schema.sql:16
persistence/migrations/001_phase_a_schema.sql,TABLE,identity_bindings,persistence/migrations/001_phase_a_schema.sql:22
persistence/migrations/001_phase_a_schema.sql,TABLE,web_auth_sessions,persistence/migrations/001_phase_a_schema.sql:39
persistence/migrations/001_phase_a_schema.sql,TABLE,conversations,persistence/migrations/001_phase_a_schema.sql:51
persistence/migrations/001_phase_a_schema.sql,TABLE,messages,persistence/migrations/001_phase_a_schema.sql:64
persistence/migrations/001_phase_a_schema.sql,TABLE,sessions,persistence/migrations/001_phase_a_schema.sql:81
persistence/migrations/001_phase_a_schema.sql,TABLE,runs,persistence/migrations/001_phase_a_schema.sql:96
persistence/migrations/001_phase_a_schema.sql,TABLE,workflow_executions,persistence/migrations/001_phase_a_schema.sql:118
persistence/migrations/001_phase_a_schema.sql,TABLE,idempotency_commands,persistence/migrations/001_phase_a_schema.sql:132
persistence/migrations/001_phase_a_schema.sql,TABLE,outbox_events,persistence/migrations/001_phase_a_schema.sql:145
persistence/migrations/001_phase_a_schema.sql,FUNCTION,enforce_run_message_invariants,persistence/migrations/001_phase_a_schema.sql:162
persistence/migrations/002_fix_constraint_trigger_target.sql,FUNCTION,enforce_run_message_invariants,persistence/migrations/002_fix_constraint_trigger_target.sql:4
persistence/migrations/004_complete_deferred_invariants.sql,FUNCTION,validate_run_message_invariant,persistence/migrations/004_complete_deferred_invariants.sql:7
persistence/migrations/004_complete_deferred_invariants.sql,FUNCTION,enforce_run_message_invariants,persistence/migrations/004_complete_deferred_invariants.sql:36
persistence/migrations/004_complete_deferred_invariants.sql,FUNCTION,enforce_web_auth_binding_invariant,persistence/migrations/004_complete_deferred_invariants.sql:62
persistence/migrations/004_complete_deferred_invariants.sql,FUNCTION,enforce_session_predecessor_invariant,persistence/migrations/004_complete_deferred_invariants.sql:76
persistence/migrations/007_referenced_object_invariants.sql,FUNCTION,validate_web_auth_session,persistence/migrations/007_referenced_object_invariants.sql:6
persistence/migrations/007_referenced_object_invariants.sql,FUNCTION,enforce_web_auth_session_invariants,persistence/migrations/007_referenced_object_invariants.sql:19
persistence/migrations/007_referenced_object_invariants.sql,FUNCTION,validate_session_predecessor,persistence/migrations/007_referenced_object_invariants.sql:44
persistence/migrations/007_referenced_object_invariants.sql,FUNCTION,enforce_session_predecessor_invariants,persistence/migrations/007_referenced_object_invariants.sql:59
persistence/migrations/008_retry_reverse_and_terminal_transitions.sql,FUNCTION,enforce_run_message_invariants,persistence/migrations/008_retry_reverse_and_terminal_transitions.sql:6
persistence/migrations/008_retry_reverse_and_terminal_transitions.sql,FUNCTION,enforce_run_status_transition,persistence/migrations/008_retry_reverse_and_terminal_transitions.sql:65
persistence/migrations/008_retry_reverse_and_terminal_transitions.sql,TRIGGER,tr_runs__status_transition,persistence/migrations/008_retry_reverse_and_terminal_transitions.sql:77
persistence/migrations/008_retry_reverse_and_terminal_transitions.sql,FUNCTION,enforce_assistant_message_status_transition,persistence/migrations/008_retry_reverse_and_terminal_transitions.sql:81
persistence/migrations/008_retry_reverse_and_terminal_transitions.sql,TRIGGER,tr_messages__assistant_status_transition,persistence/migrations/008_retry_reverse_and_terminal_transitions.sql:91
persistence/migrations/010_web_artifacts.sql,TABLE,artifacts,persistence/migrations/010_web_artifacts.sql:10
persistence/migrations/010_web_artifacts.sql,TABLE,artifact_versions,persistence/migrations/010_web_artifacts.sql:34
persistence/migrations/010_web_artifacts.sql,TABLE,artifact_outbox_events,persistence/migrations/010_web_artifacts.sql:81
persistence/migrations/012_self_service_identity.sql,TABLE,web_credentials,persistence/migrations/012_self_service_identity.sql:3
persistence/migrations/012_self_service_identity.sql,TABLE,identity_binding_challenges,persistence/migrations/012_self_service_identity.sql:17
persistence/migrations/014_durable_agent_control_plane.sql,TABLE,agent_transcripts,persistence/migrations/014_durable_agent_control_plane.sql:12
persistence/migrations/014_durable_agent_control_plane.sql,TABLE,agent_transcript_events,persistence/migrations/014_durable_agent_control_plane.sql:29
persistence/migrations/014_durable_agent_control_plane.sql,TABLE,agent_operations,persistence/migrations/014_durable_agent_control_plane.sql:52
persistence/migrations/014_durable_agent_control_plane.sql,TABLE,account_execution_leases,persistence/migrations/014_durable_agent_control_plane.sql:82
persistence/migrations/016_agent_trace.sql,TABLE,trace_runs,persistence/migrations/016_agent_trace.sql:5
persistence/migrations/016_agent_trace.sql,TABLE,trace_events,persistence/migrations/016_agent_trace.sql:29
persistence/migrations/017_file_workspace_p0.sql,TABLE,stored_files,persistence/migrations/017_file_workspace_p0.sql:4
persistence/migrations/017_file_workspace_p0.sql,TABLE,message_files,persistence/migrations/017_file_workspace_p0.sql:47
persistence/migrations/017_file_workspace_p0.sql,TABLE,run_files,persistence/migrations/017_file_workspace_p0.sql:65
persistence/migrations/017_file_workspace_p0.sql,TABLE,run_budgets,persistence/migrations/017_file_workspace_p0.sql:89
persistence/migrations/017_file_workspace_p0.sql,TABLE,run_usage_ledger,persistence/migrations/017_file_workspace_p0.sql:111
