source,expression,target,evidence,config_gates
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::utc_now,datetime.now(UTC).isoformat,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:39,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git_value,subprocess.run,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:43,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::load_manifest,Counter,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:55,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::manifest_digest,hashlib.sha256(path.read_bytes()).hexdigest,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:74,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::safe_materialize,target.mkdir,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:82,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::safe_materialize,task['files'].items,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:83,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::safe_materialize,(target / '.gitignore').write_text,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:87,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,subprocess.run,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:94,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::default_branch,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:106,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:126,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:135,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,"git(workspace, 'ls-files', '--others', '--exclude-standard', '-z').stdout.split",,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:147,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:158,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:159,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,"git(workspace, 'status', '--porcelain').stdout.strip",,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:164,"git(workspace, 'status', '--porcelain').stdout.strip()"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,preserve_interrupted_workspace,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:169,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,default_branch,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::default_branch,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:170,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:171,
